taxa.level	taxa.name	age	richness	e.div.0	e.div.5	e.div.9
Kingdom	Animal	959.5987	1525728	0.014837434	0.014115104	0.012437911
Kingdom	Archaea	3806	377	0.001558656	0.001377233	0.000959867
Kingdom	Eubacteria	4200	9982	0.002192509	0.002027498	0.001644489
Kingdom	Fungi	1295.7116	128432	0.009078529	0.00854358	0.007301501
Kingdom	Plant	433.0778	345501	0.02944679	0.027846282	0.024130056
Kingdom	Amoebozoa	1773.274	2400	0.004389183	0.003998532	0.0030928
Kingdom	Excavata	1698.4229	613	0.003779015	0.003371862	0.002431877
Kingdom	SAR	1546.0084	27870	0.006620473	0.006172149	0.005131307
Phylum	Acoela	658.8997	140	0.00749984	0.006458665	0.004099806
Phylum	Arthropoda	728.0006	1302809	0.019340689	0.018388566	0.01617781
Phylum	Brachiopoda	525.5189	392	0.011362601	0.010048473	0.00702425
Phylum	Bryozoa	582.0862	6008	0.014947695	0.013757183	0.010994521
Phylum	Chaetognatha	680.6018	170	0.007545967	0.006536151	0.004238603
Phylum	Chordata	692.0396	85423	0.016408556	0.015406973	0.013081464
Phylum	Cnidaria	1020.0006	10203	0.009049443	0.008369983	0.006792872
Phylum	Ctenophora	875.996	187	0.005971612	0.005186433	0.003396739
Phylum	Echinodermata	795.0006	7550	0.011231819	0.010360103	0.008336986
Phylum	Entoprocta	582.0862	171	0.008833165	0.007652384	0.004965539
Phylum	Gastrotricha	506.8862	794	0.013172747	0.011807769	0.008652375
Phylum	Gnathostomulida	452.9586	97	0.010099623	0.008592	0.005212075
Phylum	Hemichordata	543.1493	103	0.008533066	0.007274692	0.004447974
Phylum	Kinorhyncha	630.6976	196	0.008368693	0.007277745	0.004789022
Phylum	Mollusca	660.3862	84977	0.017187119	0.016137528	0.013700554
Phylum	Nematoda	728.0006	25033	0.013912008	0.012959938	0.010749613
Phylum	Nematomorpha	397.5031	339	0.01465649	0.012920147	0.008929785
Phylum	Nemertea	555.2834	1358	0.012991147	0.011744196	0.008856358
Phylum	Onychophora	574.8886	183	0.009061732	0.007865504	0.00513997
Phylum	Phoronida	525.5189	16	0.005275907	0.004072292	0.001743592
Phylum	Placozoa	794.6403	1	0	0	0
Phylum	Platyhelminthes	506.8862	29487	0.020303778	0.018936384	0.015761772
Phylum	Porifera	836.509	8659	0.010838323	0.010009842	0.008086952
Phylum	Rotifera	452.9586	2049	0.016834005	0.015304816	0.011760247
Phylum	Sipuncula	500.8121	205	0.010628757	0.009254427	0.006116847
Phylum	Tardigrada	583.3475	1167	0.01210632	0.010919565	0.008172297
Phylum	Xenoturbellida	658.8997	2	0.001051977	0.000615367	0.000144651
Phylum	Euryarchaeota	3378.28	230	0.001609718	0.001405825	0.000939495
Phylum	Crenarchaeota	3378.28	51	0.001163854	0.000964425	0.000530376
Phylum	Actinobacteria	2738.9	1764	0.002729322	0.002476454	0.001890483
Phylum	Aquificae	4178.6	19	0.000704647	0.000551042	0.000246403
Phylum	Firmicutes	2874	1564	0.002559152	0.002318196	0.00175997
Phylum	Bacteroidetes	2099	415	0.002871976	0.002542896	0.001785206
Phylum	Chlamydiae	2739.05	14	0.000963494	0.000735621	0.000304087
Phylum	Chlorobi	2098.65	15	0.001290377	0.000990847	0.000417158
Phylum	Cyanobacteria	2761.31	4478	0.003044545	0.002793604	0.002211398
Phylum	Chloroflexi	2761.31	14	0.000955727	0.000729691	0.000301636
Phylum	Deinococcus	2738.9	42	0.001364661	0.001120177	0.000594852
Phylum	Fusobacteria	3305.89	32	0.001048352	0.00084799	0.00042681
Phylum	Planctomycetes	2762.11	11	0.000868139	0.000648692	0.000250948
Phylum	Acidobacteria	2578.87	3	0.000426005	0.000268779	7.07E-05
Phylum	Spirochaetes	2762.11	98	0.001659951	0.001412678	0.000858128
Phylum	Thermotogae	4188.74	28	0.000795515	0.000638414	0.000312345
Phylum	Basidiomycota	454.6089	45602	0.023597661	0.022072999	0.018533115
Phylum	Ascomycota	583.1665	80137	0.019362383	0.018173812	0.015414157
Phylum	Blastocladiomycota	730.1542	27	0.004513892	0.003614384	0.001754333
Phylum	Glomeromycota	505.0731	174	0.010214473	0.008853449	0.005755407
Phylum	Bryophyta	620.673656	14213	0.0154057	0.014289048	0.011696904
Phylum	Tracheophyta	526.52535	331289	0.024140806	0.022824356	0.019767687
Phylum	Rhodophyta	1486.47659	7117	0.005967293	0.005501086	0.004419121
Phylum	Chlorophyta	936.304191	6052	0.00930055	0.008560425	0.00684291
Phylum	Glaucophyta	1550.118685	18	0.001864613	0.001452335	0.000640759
Phylum	Charophyta	738.5472605	4399	0.011358965	0.010420745	0.00824401
Phylum	Preaxostyla	912.7117017	23	0.003435361	0.002722554	0.00127439
Phylum	Fornicata	1263.629871	21	0.002409347	0.001897625	0.00086941
Phylum	Euglenozoa	1466.456006	150	0.003416833	0.002948696	0.001886398
Phylum	Percolozoa	1214.866434	48	0.003186524	0.002632942	0.00143264
Phylum	Parabasalia	1322.873401	110	0.003553235	0.003036105	0.00187209
Phylum	Apicomplexa	1098.801241	536	0.005719082	0.005089957	0.003638693
Phylum	Acoela	1773.154136	474	0.003474716	0.003084993	0.002186743
Phylum	Arthropoda	583.3004904	949	0.011752791	0.010566277	0.007821462
Phylum	Brachiopoda	1295.711611	139	0.003808312	0.00327889	0.00207965
Phylum	Bryozoa	1102.815675	170	0.004656987	0.004033781	0.00261585
Phylum	Chaetognatha	1344.089345	8669	0.00674621	0.006230595	0.005033863
Phylum	Chordata	1098.801241	3209	0.007347748	0.00671721	0.005254754
Phylum	Cnidaria	514.4477766	547	0.012254789	0.010910977	0.007810673
Phylum	Ctenophora	1102.815675	10	0.002087915	0.001545814	0.000582014
Phylum	Echinodermata	898.0269685	52	0.004399917	0.003649272	0.002013624
Phylum	Entoprocta	1546.0084	64	0.002690078	0.00225176	0.001285811
Phylum	Gastrotricha	756.8275658	756	0.008757664	0.007843552	0.005730884
Phylum	Gnathostomulida	942.1745907	3	0.001166039	0.000735689	0.000193511
Class	Actinopteri	382.6	50234	0.028291812	0.026480188	0.022274024
Class	Amphibia	269.2648	6439	0.032570646	0.029997002	0.024024455
Class	Aves	249.1641	10306	0.037085927	0.034304426	0.027848191
Class	Dipnotetrapodomorpha	381.9	23628	0.026368651	0.024553765	0.02034036
Class	Elasmobranchii	471	1160	0.014981264	0.013511443	0.010108957
Class	Mammalia	320.44	5564	0.026913221	0.024750671	0.019732567
Class	Anthozoa	640.9	6363	0.013665557	0.01258428	0.010075025
Class	Cubozoa	537.5	36	0.006667012	0.005428411	0.002798284
Class	Hydrozoa	640.9	3539	0.012750194	0.011669113	0.00916142
Class	Scyphozoa	537.5	192	0.009781387	0.008501475	0.005582735
Class	Asteroidea	268.75	1830	0.027951893	0.025374773	0.019402389
Class	Crinoidea	531.078	105	0.008763233	0.007475911	0.004582403
Class	Holothuroidea	471.301	1726	0.015814865	0.014345384	0.010940307
Class	Ophiuroidea	481.812	2075	0.015852068	0.014414442	0.011082039
Class	Bivalvia	530.9265	8838	0.017115017	0.015809687	0.012780015
Class	Caudofoveata	518.5919	132	0.0094155	0.008093458	0.005102615
Class	Cephalopoda	504.9162	585	0.012619147	0.011249733	0.008089054
Class	Gastropoda	541.6861	30239	0.019045879	0.017766329	0.014795654
Class	Monoplacophora	493.0616	31	0.006964621	0.00562321	0.002811605
Class	Polyplacophora	493.0616	976	0.013960654	0.012556929	0.009309296
Class	Scaphopoda	534.1957	571	0.011882142	0.010587865	0.00760104
Class	Solenogastres	504.9162	270	0.011087824	0.009722349	0.006592434
Class	Archaeoglobi	1776.16	5	0.000906133	0.000618532	0.000189438
Class	Halobacteria	1472.29	72	0.002904772	0.002443345	0.001420823
Class	Methanobacteria	2013.9	37	0.001792998	0.001462058	0.000757762
Class	Methanococci	2013.9	14	0.001310421	0.001000498	0.00041358
Class	Methanomicrobia	1472.29	65	0.002835302	0.002374877	0.001359433
Class	Methanopyri	2767.28	1	0	0	0
Class	Thermococci	2450.75	31	0.001401198	0.001131323	0.000565661
Class	Thermoplasmata	1299.25	5	0.001238744	0.000845574	0.000258974
Class	Thermoprotei	3378.28	51	0.001163854	0.000964425	0.000530376
Class	Actinobacteria	2738.9	1763	0.002729115	0.002476247	0.001890277
Class	Alphaproteobacteria	2503.99	655	0.002589721	0.002313513	0.001675605
Class	Aquificae	4178.6	19	0.000704647	0.000551042	0.000246403
Class	Bacilli	2233.42	787	0.002985658	0.002675874	0.001959781
Class	Bacteroidia	1834.04	108	0.002552906	0.002179996	0.001341077
Class	Betaproteobacteria	1992.88	353	0.002943714	0.002597321	0.001800941
Class	Chlamydiae	2739.05	14	0.000963494	0.000735621	0.000304087
Class	Chlorobia	2098.65	15	0.001290377	0.000990847	0.000417158
Class	Chroobacteria	661.82	312	0.008677591	0.007635091	0.005241389
Class	Clostridia	2606.99	551	0.002421081	0.002155897	0.001544061
Class	Deinococci	2738.9	42	0.001364661	0.001120177	0.000594852
Class	Deltaproteobacteria	2578.87	223	0.002096721	0.001829677	0.001219198
Class	Epsilonproteobacteria	2849.04	76	0.001520068	0.001281364	0.000751153
Class	Fusobacteria	3305.89	32	0.001048352	0.00084799	0.00042681
Class	Gammaproteobacteria	1992.88	1098	0.00351313	0.003165775	0.00236182
Class	Mollicutes	2233.42	226	0.002427011	0.002118635	0.001413527
Class	Planctomycetacia	2762.11	11	0.000868139	0.000648692	0.000250948
Class	Solibacteres	2578.87	2	0.000268779	0.000157226	3.70E-05
Class	Sphingobacteria	1834.04	106	0.002542714	0.002169899	0.001331676
Class	Spirochaetes	2762.11	98	0.001659951	0.001412678	0.000858128
Class	Thermotogae	4188.74	28	0.000795515	0.000638414	0.000312345
Class	Agaricomycetes	385.5601	40008	0.027484262	0.02568656	0.021512793
Class	Arthoniomycetes	361.58	389	0.016493112	0.014583217	0.010188249
Class	Arthoniomycetes 	361.58	389	0.016493112	0.014583217	0.010188249
Class	Blastocladiomycetes	730.15	221	0.007393224	0.006450086	0.004294315
Class	Dacrymycetes	385.5601	40008	0.027484262	0.02568656	0.021512793
Class	Dothideomycetes	361.58	28019	0.028321915	0.026405019	0.021954683
Class	Eurotiomycetes	371.15	2871	0.021453363	0.019586735	0.015257875
Class	Exobasidiomycetes	288.738	40008	0.03670052	0.034299997	0.028726647
Class	Glomeromycetes	505.07	194	0.010429957	0.009067758	0.005960799
Class	Lecanoromycetes	371.15	7375	0.023995288	0.022128087	0.017794654
Class	Leotiomycetes	340.42	9354	0.026859642	0.024823803	0.020098513
Class	Microbotryomycetes	272.085	40008	0.03894678	0.036399333	0.030484865
Class	Orbiliomycetes	455.35	406	0.01319063	0.011673803	0.008182043
Class	Pezizomycetes	441.35	2521	0.017746484	0.016176867	0.012537418
Class	Pucciniomycetes	272.085	40008	0.03894678	0.036399333	0.030484865
Class	Saccharomycetes	538.42	1006	0.012840789	0.011555261	0.008580771
Class	Schizosaccharomycetes	538.42	159	0.009414405	0.008138677	0.005240108
Class	Sordariomycetes	340.42	19984	0.029089616	0.027053611	0.022326985
Class	Taphrinomycetes	538.42	306	0.009414405	0.008138677	0.005240108
Class	Ustilaginomycetes	288.738	40008	0.03670052	0.034299997	0.028726647
Class	Anthocerotopsida	323.138651	50	0.01210633	0.010022566	0.005492851
Class	Cycadopsida	252.292548	301	0.022621002	0.019886754	0.013611132
Class	Equisetopsida	374.811818	40	0.009841951	0.00805851	0.004240088
Class	Ginkgoopsida	252.292546	1	0	0	0
Class	Gnetopsida	303.24849	112	0.015559843	0.013303415	0.008221658
Class	Haplomitriopsida	498.436955	3	0.002204115	0.001390642	0.000365787
Class	Jungermanniopsida	452.414544	709	0.014508498	0.012979507	0.009446833
Class	Leiosporocerotopsida	323.138648	1	0	0	0
Class	Liliopsida	236.009467	74231	0.047519014	0.044582124	0.037763202
Class	Lycopodiopsida	478.909675	1356	0.015059822	0.013614017	0.010265662
Class	Marattiopsida	374.811815	141	0.013203319	0.011372854	0.007225093
Class	Marchantiopsida	452.414544	76	0.009572489	0.008069277	0.004730321
Class	Pinopsida	303.24849	615	0.021176106	0.018895724	0.013630951
Class	Sphagnopsida	458.991671	307	0.012477019	0.010973952	0.007523355
Class	Takakiopsida	329.370041	307	0.017387276	0.015292686	0.010484126
Class	Chlorophyceae	735.2557	3336	0.011033614	0.010091292	0.007905599
Class	Glaucophyceae	1550.1187	18	0.001864613	0.001452335	0.000640759
Class	Mamiellophyceae	848.1377	17	0.003340511	0.002590646	0.001126599
Class	Ulvophyceae	735.2557467	1738	0.010146796	0.009204849	0.007022142
Class	Anaeromonadea	912.7117	23	0.003435361	0.002722554	0.00127439
